id,name,price,original_price,discount_rate,rating_average,review_count,thumbnail_url,url_key,category_id,category_name
176881225,Đồ Bơi Nữ Tay Dài Quần Ôm Thân Tôn Dáng AT221 MayHomes Long Sleeves And Long Pants Women Swimwear Set With UPF 50 Sun Protection,288000,288000,0,4.8,8,https://salt.tikicdn.com/cache/280x280/ts/product/69/81/67/2a2d7b9e33890ddb8ae32588dc69af34.png,do-boi-nu-tay-dai-quan-om-than-ton-dang-at221-mayhomes-long-sleeves-and-long-pants-women-swimwear-set-with-upf-50-sun-protection-p176881225,931,thoi_trang_nu
163477532,"Quần Đùi Nữ New Design, Quần Short Nữ Cạp Chun, Vải Lụa Mịn, Thoáng Mát ,Mặc Thoải Mái Nhiều Màu ( 40-65 kg) QA0003",69000,69000,0,4.6,12,https://salt.tikicdn.com/cache/280x280/ts/product/22/f8/73/93b8263e8320c4fa68224a7b6582fdc0.jpg,quan-dui-nu-mac-nha-quan-dui-nu-lua-han-quoc-hang-thiet-ke-cao-cap-45-65kg-vannhshop-qa0003-p163477532,931,thoi_trang_nu
151523914,"Dán Nâng Ngực Đa Năng AOLIKES 630 - Định Hình Vòng 1 Tự Nhiên, Dễ Dàng",139000,219000,37,3.8,4,https://salt.tikicdn.com/cache/280x280/ts/product/2e/aa/95/468ea251f233d9c97ea986143be52f89.jpg,bang-dan-dinh-hinh-nguc-boob-tape-aolikes-a-630-p151523914,931,thoi_trang_nu
149980646,Hộp 10 Miếng Dán Ngực Silicon Siêu Mềm Dùng Được Nhiều Lần - Hàng Loại 1 - Chính Hãng MINIIN,45000,45000,0,5.0,7,https://salt.tikicdn.com/cache/280x280/ts/product/98/ba/ae/120d5044791c006bbc9809819c6a3c0a.jpeg,hop-10-mieng-dan-nguc-silicon-sieu-mem-dung-duoc-nhieu-lan-hang-loai-1-chinh-hang-miniin-p149980646,931,thoi_trang_nu
135114771,Bộ đồ chất đũi trung niên,185000,185000,0,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/da/b4/15/8bca0b07b4a31158836c9b3cb80dd913.jpg,bo-do-chat-dui-trung-nien-p135114771,931,thoi_trang_nu
134020411,Set Váy Ngủ Ren Áo Choàng Ngủ Sexy 3 Chi Tiết,218000,218000,0,4.7,15,https://salt.tikicdn.com/cache/280x280/ts/product/90/a6/06/6f0f2da8261ebcd473d7613538413f72.jpg,set-vay-ngu-ren-ao-choang-ngu-sexy-3-chi-tiet-p134020411,931,thoi_trang_nu
126040429,áo nữ - đũi xước tơ cổ tàu cho người đến dưới 80kg (A25),139000,139000,0,5.0,14,https://salt.tikicdn.com/cache/280x280/ts/product/78/aa/ce/f307fb50b8b74b08057d90b5761dea9b.jpg,ao-nu-dui-xuoc-to-co-tau-cho-nguoi-den-duoi-80kg-a25-p126040429,931,thoi_trang_nu
101949464,Combo 5 quần lót nữ   Jones 003 cotton 100,45000,45000,0,4.5,11,https://salt.tikicdn.com/cache/280x280/ts/product/27/bb/71/d32e15ef6ca87eb2b29e9d53a5d806fb.jpg,combo-5-quan-lot-nu-jones-cotton-100-p101949464,931,thoi_trang_nu
98333778, COMBO 5 QUẦN LÓT NỮ XUẤT 100% Cotton Sợi Tre,128000,128000,0,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ae/65/59/54797d538d9656df5bf31277cb475d99.jpg,combo-5-quan-lot-nu-xuat-100-cotton-soi-tre-p98333778,931,thoi_trang_nu
80915097,Quần lót nữ buộc dây gợi cảm quyến rũ,29000,29000,0,5.0,2,https://salt.tikicdn.com/cache/280x280/ts/product/98/52/f8/8b574218db5d6959b12eef5fc3e8edd5.jpg,quan-lot-nu-buoc-day-goi-cam-quyen-ru-p80915097,931,thoi_trang_nu
79662569,Quần Lót Nữ Dáng Bikini Thun Lạnh Phối Ren Active Miley Lingerie FMM_34,69000,79000,13,5.0,5,https://salt.tikicdn.com/cache/280x280/ts/product/eb/ec/5b/0426bf0090f98cda3581ba35462e5fb8.png,quan-lot-nu-dang-bikini-thun-lanh-phoi-ren-active-miley-lingerie-fmm_34-p79662569,931,thoi_trang_nu
24030500,Bộ 5 quần lót nữ basic Comfort Modal MILEY LINGERIE - Màu ngẫu nhiên,320000,396000,19,4.8,12,https://salt.tikicdn.com/cache/280x280/ts/product/78/2b/0b/9733257f5592c7a143b2bee30978e7f8.png,bo-5-quan-lot-nu-basic-comfort-modal-miley-lingerie-mau-ngau-nhien-p24030500,931,thoi_trang_nu
7965235,Bộ 8 quần lót nữ Modal Bikini Miley Lingerie - New Color,360000,360000,0,4.6,14,https://salt.tikicdn.com/cache/280x280/ts/product/22/2b/58/f2254f88198885325bd2c2aca12c6643.png,bo-8-quan-lot-nu-modal-bikini-miley-lingerie-new-color-p7965235,931,thoi_trang_nu
7776892,Bộ 4 quần lót nữ ren sexy Miley Lingerie FLS_06,210000,348000,40,4.6,11,https://salt.tikicdn.com/cache/280x280/ts/product/b3/16/db/440e5e72d6b694bf8b5e59fa39cee51a.png,bo-4-quan-lot-nu-ren-sexy-miley-lingerie-fls_06-p7776892,931,thoi_trang_nu
278011349,QUẦN ĐỘN MÔNG ĐỊNH HÌNH TỪ 40-70KG DÀNH CHO NỮ,85000,85000,0,0.0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6b/60/03/b140792887b8f7bd03b707e334127e82.jpg,quan-don-mong-dinh-hinh-tu-40-70kg-danh-cho-nu-p278011349,931,thoi_trang_nu
